observer,class,bearings,median_deg,max_deg,above maximum,above 3 deg
Nieuw Zuid,vegetation,133,0.74,1.47,0,0
Nieuw Zuid,building,97,1.09,1.84,0,0
Nieuw Zuid,"tall, unattributed",1,0.66,0.66,0,0
Scheldekaaien Zuid,vegetation,179,0.56,1.82,0,0
Scheldekaaien Zuid,building,52,0.52,0.81,0,0
"Wandelterras, Het Steen",vegetation,117,1.56,2.86,0,0
"Wandelterras, Het Steen",building,114,1.85,2.84,0,0
Droogdokkenpark,vegetation,128,0.75,1.85,0,0
Droogdokkenpark,building,27,0.25,1.14,0,0
Droogdokkenpark,"tall, unattributed",70,0.23,0.45,0,0
MAS panoramic platform,vegetation,10,0.38,0.43,0,0
MAS panoramic platform,building,30,0.44,0.55,0,0
MAS panoramic platform,"tall, unattributed",183,-0.29,0.15,0,0
